"","M1 TWFE","M1 IFE","M2 SOE","M2 Non-SOE","M3 Interact","M5 Small","M5 Large"
"","b/t","b/t","b/t","b/t","b/t","b/t","b/t"
"npr","-.6174595***","-.5689169***","-.7827861***","-.4993219***","-.9635639***","-.4525101***","-.6957746***"
"","-11.78511","-11.13173","-13.67341","-13.41596","-32.05503","-11.35799","-14.33675"
"m2_growth","","0","","","","",""
"","",".","","","","",""
"size",".0789159***",".0783116***",".0832324***",".0676743***",".0625854***",".1019116***",".0794586***"
"","17.78524","17.69826","12.06624","11.17303","31.4979","11.9811","13.78597"
"tang",".0799561**",".0746603**",".0519339",".1105629**",".0472541*",".1059767**",".0546226*"
"","3.562561","3.311494","1.64938","3.701661","2.389169","3.299812","2.307237"
"growth",".0220199*",".0218609*",".0164261*",".0299357**",".0524727***",".0232722*",".0114296"
"","2.562718","2.582579","2.288568","3.230715","14.16404","2.273574","1.939476"
"ndts",".5276494*",".6064854**","-.5156508",".848638**",".2280954","1.29224***","-.1240466"
"","2.67668","3.217303","-1.660614","3.972197","1.291145","4.155145","-.5243715"
"0.soe","","0","","","0","",""
"","",".","","",".","",""
"1.soe","",".0311541**","","",".0465352***","",""
"","","3.522946","","","8.230127","",""
"0.soe#c.npr","","0","","","0","",""
"","",".","","",".","",""
"1.soe#c.npr","","-.201159***","","","-.48617***","",""
"","","-4.721361","","","-8.232495","",""
"_cons","-1.354592***","-1.351115***","-1.396558***","-1.137589***","-.9806875***","-1.872998***","-1.34007***"
"","-13.43329","-13.43782","-8.599324","-8.411796","-22.03662","-10.27002","-9.917139"
"N","38358","37001","13952","24371","38384","18978","19042"
